# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003739.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/counts.txt" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_F_plus_R.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_WO.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_F_plus_R.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_WO.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	301	279	22	429
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	111	79	32	792
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	14	12	2	104
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	92	87	5	138
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	400	353	47	484
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	392	284	108	563
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	42	28	14	43
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	0	0	0	0
Tb10.v4.0081	tryp_X-188b09.p2kB601	19250	20774	+	1525	12	11	1	181
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	8	5	3	8
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	109	88	21	387
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	9	9	0	91
Tb927.8.110	Tb927_08_v5.1	3244	4698	+	1455	80	75	5	377
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	60	55	5	826
Tb927.8.130	Tb927_08_v5.1	7309	10072	+	2764	147	91	56	157
Tb927.8.140	Tb927_08_v5.1	10953	11472	+	520	506	386	120	975
Tb927.8.150	Tb927_08_v5.1	12682	20445	+	7764	2709	2219	490	5469
