# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003742.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003742.1.all.q/CM03_E_G1_S4/counts.txt" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_F_plus_R.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_WO.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_F_plus_R.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_WO.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	360	301	59	494
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	105	96	9	668
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	205	183	22	894
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	110	104	6	174
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	530	377	153	694
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	341	186	155	400
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	20	14	6	20
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	1	0	1	1
Tb10.v4.0081	tryp_X-188b09.p2kB601	19250	20774	+	1525	21	19	2	294
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	14	11	3	19
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	543	423	120	781
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	208	148	60	595
Tb927.8.110	Tb927_08_v5.1	3244	4698	+	1455	316	258	58	926
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	166	122	44	207
Tb927.8.130	Tb927_08_v5.1	7309	10072	+	2764	570	250	320	783
Tb927.8.140	Tb927_08_v5.1	10953	11472	+	520	795	588	207	1519
Tb927.8.150	Tb927_08_v5.1	12682	20445	+	7764	4219	3291	928	8391
Tb927.8.160	Tb927_08_v5.1	21627	23681	+	2055	660	539	121	1157
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	724	385	339	1167
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	227	212	15	489
Tb927.8.190	Tb927_08_v5.1	29452	31046	+	1595	1755	1265	490	2783
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	374	237	137	807
Tb927.8.210	Tb927_08_v5.1	33526	35078	+	1553	1433	1161	272	2351
Tb927.8.220	Tb927_08_v5.1	36916	38437	+	1522	508	425	83	800
Tb927.8.230	Tb927_08_v5.1	39787	40888	+	1102	804	494	310	1297
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	353	312	41	867
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	535	503	32	1892
Tb927.8.260	Tb927_08_v5.1	46530	48055	+	1526	385	342	43	772
Tb927.8.270	Tb927_08_v5.1	51024	64023	+	13000	7667	5713	1954	17023
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	784	405	379	1430
Tb927.8.290	Tb927_08_v5.1	69197	70716	+	1520	594	501	93	1590
Tb927.8.300	Tb927_08_v5.1	72810	74841	+	2032	1512	812	700	2005
Tb927.8.310	Tb927_08_v5.1	75869	77280	+	1412	1045	674	371	2002
Tb927.8.320	Tb927_08_v5.1	80097	86013	+	5917	1703	1230	473	4087
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	219	148	71	285
Tb927.8.340	Tb927_08_v5.1	90887	93874	+	2988	1483	1064	419	3353
Tb927.8.350	Tb927_08_v5.1	94593	98427	+	3835	1278	1094	184	1795
Tb927.8.360	Tb927_08_v5.1	98581	100054	+	1474	773	554	219	4822
Tb927.8.370	Tb927_08_v5.1	101170	102323	+	1154	378	201	177	496
Tb927.8.380	Tb927_08_v5.1	102499	104385	+	1887	387	282	105	1926
Tb927.8.390	Tb927_08_v5.1	105019	106006	+	988	60	45	15	328
