# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003737.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003737.1.all.q/CM03_D_LG_S3/counts.txt" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_F_plus_R.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_WO.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_F_plus_R.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_WO.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	2	0	2	2
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	15	11	4	48
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	1	0	1	1
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	480	321	159	919
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	1	0	1	1
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	0	0	0	0
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	23	21	2	23
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	0	0	0	0
Tb10.v4.0081	tryp_X-188b09.p2kB601	19250	20774	+	1525	5	5	0	195
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	0	0	0	1
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	1131	448	683	1886
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	1049	418	631	2453
Tb927.8.110	Tb927_08_v5.1	3244	4698	+	1455	1343	577	766	3015
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	332	268	64	602
Tb927.8.130	Tb927_08_v5.1	7309	10072	+	2764	832	404	428	1175
Tb927.8.140	Tb927_08_v5.1	10953	11472	+	520	591	544	47	2112
Tb927.8.150	Tb927_08_v5.1	12682	20445	+	7764	3450	2580	870	11100
Tb927.8.160	Tb927_08_v5.1	21627	23681	+	2055	267	208	59	654
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	478	268	210	752
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	326	317	9	1334
Tb927.8.190	Tb927_08_v5.1	29452	31046	+	1595	0	0	0	0
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	57	17	40	70
Tb927.8.210	Tb927_08_v5.1	33526	35078	+	1553	23	16	7	294
Tb927.8.220	Tb927_08_v5.1	36916	38437	+	1522	2	2	0	2
Tb927.8.230	Tb927_08_v5.1	39787	40888	+	1102	56	51	5	87
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	121	119	2	229
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	277	273	4	2414
Tb927.8.260	Tb927_08_v5.1	46530	48055	+	1526	0	0	0	0
Tb927.8.270	Tb927_08_v5.1	51024	64023	+	13000	8077	4587	3490	20241
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	1337	556	781	4678
Tb927.8.290	Tb927_08_v5.1	69197	70716	+	1520	150	121	29	833
Tb927.8.300	Tb927_08_v5.1	72810	74841	+	2032	1531	1034	497	3955
Tb927.8.310	Tb927_08_v5.1	75869	77280	+	1412	1319	643	676	2209
Tb927.8.320	Tb927_08_v5.1	80097	86013	+	5917	1247	702	545	7043
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	13	7	6	15
Tb927.8.340	Tb927_08_v5.1	90887	93874	+	2988	2118	1309	809	9703
Tb927.8.350	Tb927_08_v5.1	94593	98427	+	3835	1128	697	431	2645
Tb927.8.360	Tb927_08_v5.1	98581	100054	+	1474	297	104	193	404
Tb927.8.370	Tb927_08_v5.1	101170	102323	+	1154	7	2	5	7
Tb927.8.380	Tb927_08_v5.1	102499	104385	+	1887	2	0	2	3
Tb927.8.390	Tb927_08_v5.1	105019	106006	+	988	24	23	1	44
Tb927.8.400	Tb927_08_v5.1	106153	107750	+	1598	229	158	71	666
Tb927.8.410	Tb927_08_v5.1	108919	110449	+	1531	1	1	0	1
Tb927.8.420	Tb927_08_v5.1	112157	113708	+	1552	2	1	1	2
