# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003741.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003741.1.all.q/CM03_F_S_S5/counts.txt" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_F_plus_R.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_WO.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_F_plus_R.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_WO.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	263	235	28	321
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	73	60	13	247
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	143	126	17	897
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	66	62	4	125
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	445	338	107	721
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	235	128	107	262
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	64	46	18	67
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	3	0	3	3
Tb10.v4.0081	tryp_X-188b09.p2kB601	19250	20774	+	1525	9	7	2	103
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	24	19	5	28
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	377	291	86	440
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	70	56	14	282
Tb927.8.110	Tb927_08_v5.1	3244	4698	+	1455	350	256	94	746
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	112	98	14	377
Tb927.8.130	Tb927_08_v5.1	7309	10072	+	2764	215	132	83	341
Tb927.8.140	Tb927_08_v5.1	10953	11472	+	520	601	479	122	874
Tb927.8.150	Tb927_08_v5.1	12682	20445	+	7764	3630	2965	665	7422
Tb927.8.160	Tb927_08_v5.1	21627	23681	+	2055	744	649	95	1480
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	516	313	203	839
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	258	249	9	680
Tb927.8.190	Tb927_08_v5.1	29452	31046	+	1595	958	773	185	1364
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	305	211	94	695
Tb927.8.210	Tb927_08_v5.1	33526	35078	+	1553	975	785	190	1663
Tb927.8.220	Tb927_08_v5.1	36916	38437	+	1522	421	361	60	696
Tb927.8.230	Tb927_08_v5.1	39787	40888	+	1102	512	365	147	1194
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	402	354	48	862
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	462	435	27	1428
Tb927.8.260	Tb927_08_v5.1	46530	48055	+	1526	270	242	28	643
Tb927.8.270	Tb927_08_v5.1	51024	64023	+	13000	6203	4883	1320	14586
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	538	359	179	975
Tb927.8.290	Tb927_08_v5.1	69197	70716	+	1520	542	483	59	1590
Tb927.8.300	Tb927_08_v5.1	72810	74841	+	2032	915	603	312	1219
Tb927.8.310	Tb927_08_v5.1	75869	77280	+	1412	898	589	309	1511
Tb927.8.320	Tb927_08_v5.1	80097	86013	+	5917	1332	960	372	3742
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	286	190	96	410
Tb927.8.340	Tb927_08_v5.1	90887	93874	+	2988	1025	822	203	2986
Tb927.8.350	Tb927_08_v5.1	94593	98427	+	3835	1106	1004	102	1751
