# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003740.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/counts.txt" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_F_plus_R.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_WO.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_F_plus_R.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_WO.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	297	217	80	349
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	89	71	18	410
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	91	82	9	552
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	97	80	17	116
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	416	286	130	461
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	173	106	67	190
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	48	17	31	48
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	2	0	2	2
Tb10.v4.0081	tryp_X-188b09.p2kB601	19250	20774	+	1525	10	10	0	123
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	21	9	12	22
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	161	123	38	189
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	168	111	57	296
Tb927.8.110	Tb927_08_v5.1	3244	4698	+	1455	366	275	91	863
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	205	159	46	798
Tb927.8.130	Tb927_08_v5.1	7309	10072	+	2764	327	131	196	469
Tb927.8.140	Tb927_08_v5.1	10953	11472	+	520	542	405	137	753
Tb927.8.150	Tb927_08_v5.1	12682	20445	+	7764	2787	2159	628	5582
Tb927.8.160	Tb927_08_v5.1	21627	23681	+	2055	642	509	133	1132
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	533	313	220	911
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	172	158	14	402
Tb927.8.190	Tb927_08_v5.1	29452	31046	+	1595	1028	747	281	1445
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	395	229	166	724
Tb927.8.210	Tb927_08_v5.1	33526	35078	+	1553	1038	827	211	1654
Tb927.8.220	Tb927_08_v5.1	36916	38437	+	1522	364	292	72	546
Tb927.8.230	Tb927_08_v5.1	39787	40888	+	1102	394	248	146	716
