# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003738.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/counts.txt" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	211	173	38	251
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	95	63	32	177
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	136	119	17	683
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	72	65	7	94
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	460	346	114	576
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	199	112	87	214
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	45	26	19	46
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	3	0	3	3
Tb10.v4.0081	tryp_X-188b09.p2kB601	19250	20774	+	1525	17	11	6	127
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	32	22	10	35
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	260	205	55	317
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	111	75	36	283
Tb927.8.110	Tb927_08_v5.1	3244	4698	+	1455	210	177	33	780
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	197	164	33	741
Tb927.8.130	Tb927_08_v5.1	7309	10072	+	2764	291	170	121	431
Tb927.8.140	Tb927_08_v5.1	10953	11472	+	520	402	332	70	657
Tb927.8.150	Tb927_08_v5.1	12682	20445	+	7764	3342	2653	689	5998
Tb927.8.160	Tb927_08_v5.1	21627	23681	+	2055	668	583	85	1218
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	641	442	199	980
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	158	150	8	318
Tb927.8.190	Tb927_08_v5.1	29452	31046	+	1595	1175	912	263	1686
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	264	171	93	439
Tb927.8.210	Tb927_08_v5.1	33526	35078	+	1553	1017	823	194	1605
Tb927.8.220	Tb927_08_v5.1	36916	38437	+	1522	532	431	101	977
Tb927.8.230	Tb927_08_v5.1	39787	40888	+	1102	606	388	218	939
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	502	428	74	972
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	531	496	35	1393
Tb927.8.260	Tb927_08_v5.1	46530	48055	+	1526	341	300	41	628
Tb927.8.270	Tb927_08_v5.1	51024	64023	+	13000	5771	4355	1416	11678
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	682	395	287	1271
Tb927.8.290	Tb927_08_v5.1	69197	70716	+	1520	305	246	59	916
Tb927.8.300	Tb927_08_v5.1	72810	74841	+	2032	1108	598	510	1410
Tb927.8.310	Tb927_08_v5.1	75869	77280	+	1412	876	576	300	1627
Tb927.8.320	Tb927_08_v5.1	80097	86013	+	5917	1260	985	275	2825
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	111	85	26	126
Tb927.8.340	Tb927_08_v5.1	90887	93874	+	2988	1152	854	298	3278
Tb927.8.350	Tb927_08_v5.1	94593	98427	+	3835	878	773	105	1253
Tb927.8.360	Tb927_08_v5.1	98581	100054	+	1474	784	469	315	2567
Tb927.8.370	Tb927_08_v5.1	101170	102323	+	1154	329	206	123	392
Tb927.8.380	Tb927_08_v5.1	102499	104385	+	1887	205	146	59	1239
Tb927.8.390	Tb927_08_v5.1	105019	106006	+	988	26	15	11	115
Tb927.8.400	Tb927_08_v5.1	106153	107750	+	1598	223	198	25	285
Tb927.8.410	Tb927_08_v5.1	108919	110449	+	1531	21	21	0	150
Tb927.8.420	Tb927_08_v5.1	112157	113708	+	1552	175	108	67	460
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	650	448	202	1331
Tb927.8.440	Tb927_08_v5.1	118408	119911	+	1504	932	694	238	3108
